"","date","ccg_id","name","items","cost","list_size","covid_period"
"200","2019-03-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","96320","722682.44","6883909","pre-covid year 2"
"201","2019-03-01","Y62","NORTH WEST COMMISSIONING REGION","107022","746072.24","7504267","pre-covid year 2"
"202","2019-03-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","136115","900711.75","9001881","pre-covid year 2"
"203","2019-03-01","Y58","SOUTH WEST COMMISSIONING REGION","92236","617240.66","5824404","pre-covid year 2"
"204","2019-04-01","Y56","LONDON COMMISSIONING REGION","70677","563953.65","10062815","pre-covid year 1"
"205","2019-04-01","Y59","SOUTH EAST COMMISSIONING REGION","111939","819705.73","9330613","pre-covid year 1"
"206","2019-04-01","Y60","MIDLANDS COMMISSIONING REGION","149791","1001125.06","11134967","pre-covid year 1"
"207","2019-04-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","93917","663765.12","6888811","pre-covid year 1"
"208","2019-04-01","Y62","NORTH WEST COMMISSIONING REGION","103633","701742.33","7509548","pre-covid year 1"
"209","2019-04-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","132819","849950.26","9003181","pre-covid year 1"
"210","2019-04-01","Y58","SOUTH WEST COMMISSIONING REGION","89192","572732.49","5828715","pre-covid year 1"
"211","2019-05-01","Y56","LONDON COMMISSIONING REGION","71464","590688.58","10082115","pre-covid year 1"
"212","2019-05-01","Y59","SOUTH EAST COMMISSIONING REGION","112168","853828.61","9336102","pre-covid year 1"
"213","2019-05-01","Y60","MIDLANDS COMMISSIONING REGION","150825","1015505.06","11141166","pre-covid year 1"
"214","2019-05-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","95777","692455.87","6893111","pre-covid year 1"
"215","2019-05-01","Y62","NORTH WEST COMMISSIONING REGION","107151","730572.55","7513782","pre-covid year 1"
"216","2019-05-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","136417","880217.51","9005477","pre-covid year 1"
"217","2019-05-01","Y58","SOUTH WEST COMMISSIONING REGION","91098","591789.85","5832593","pre-covid year 1"
"218","2019-06-01","Y56","LONDON COMMISSIONING REGION","65959","653238.91","10101923","pre-covid year 1"
"219","2019-06-01","Y59","SOUTH EAST COMMISSIONING REGION","104503","976178.51","9342452","pre-covid year 1"
"220","2019-06-01","Y60","MIDLANDS COMMISSIONING REGION","140793","1150357.48","11147881","pre-covid year 1"
"221","2019-06-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","87675","767725","6899346","pre-covid year 1"
"222","2019-06-01","Y62","NORTH WEST COMMISSIONING REGION","97713","788375.17","7518893","pre-covid year 1"
"223","2019-06-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","125253","977361.08","9007147","pre-covid year 1"
"224","2019-06-01","Y58","SOUTH WEST COMMISSIONING REGION","83990","680354.07","5836413","pre-covid year 1"
"225","2019-07-01","Y56","LONDON COMMISSIONING REGION","70384","651693.02","10119444","pre-covid year 1"
"226","2019-07-01","Y59","SOUTH EAST COMMISSIONING REGION","105853","895499.47","9349320","pre-covid year 1"
"227","2019-07-01","Y60","MIDLANDS COMMISSIONING REGION","145843","1088863.74","11154319","pre-covid year 1"
"228","2019-07-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","91312","742598.59","6905735","pre-covid year 1"
"229","2019-07-01","Y62","NORTH WEST COMMISSIONING REGION","102579","770852.25","7523105","pre-covid year 1"
"230","2019-07-01","Y58","SOUTH WEST COMMISSIONING REGION","83699","618714.88","5839268","pre-covid year 1"
"231","2019-07-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","130707","933276.34","9009049","pre-covid year 1"
"232","2019-08-01","Y56","LONDON COMMISSIONING REGION","65694","679309.45","10141919","pre-covid year 1"
"233","2019-08-01","Y59","SOUTH EAST COMMISSIONING REGION","107599","1079841.38","9357428","pre-covid year 1"
"234","2019-08-01","Y60","MIDLANDS COMMISSIONING REGION","144800","1299368.94","11160517","pre-covid year 1"
"235","2019-08-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","90557","857231.46","6914557","pre-covid year 1"
"236","2019-08-01","Y62","NORTH WEST COMMISSIONING REGION","98711","878099.63","7528327","pre-covid year 1"
"237","2019-08-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","129795","1102874.77","9011403","pre-covid year 1"
"238","2019-08-01","Y58","SOUTH WEST COMMISSIONING REGION","86177","765528.86","5842583","pre-covid year 1"
"239","2019-09-01","Y56","LONDON COMMISSIONING REGION","67416","606957.12","10158323","pre-covid year 1"
"240","2019-09-01","Y59","SOUTH EAST COMMISSIONING REGION","107055","871165.2","9365584","pre-covid year 1"
